#tail	head	KSP index
ROR2	WNT5A	243
AXIN1	LRP5	244
NFATC2	CSNK1A1	245
AXIN1	LRP6	246
APC	GSK3B	247
GSK3B	ROR2	248
TCF3	CTNNB1	249
LRP6	FZD1	250
GSK3B	ROR2	251
GSK3B	ROR2	252
GSK3B	ROR2	253
FZD5	FZD10	254
CTNNB1	AXIN1	255
SMAD1	DVL1	256
DVL1	GSK3B	257
CTNNB1	AXIN1	258
ROR2	WNT2	259
ROR2	FZD2	260
WNT1	RYK	261
WNT3A	FZD5	262
CTNNB1	GSK3B	263
WNT5A	WNT7A	264
GSK3B	ROR2	265
SMAD1	DVL1	266
SMAD1	DVL1	267
CTNNB1	AXIN1	268
AXIN1	LRP6	269
SOX1	CTNNB1	270
LEF1	CTNNB1	271
APC	GSK3B	272
FZD1	LRP1	273
AXIN1	LRP6	274
AXIN1	LRP6	275
SOX1	CTNNB1	276
TCF4	CTNNB1	277
GSK3B	ROR2	278
AXIN1	LRP5	279
CTNNB1	GSK3B	280
CTNNB1	AXIN1	281
LRP6	FZD1	282
TCF4	CTNNB1	283
LRP5	FZD8	284
LEF1	CTNNB1	285
ROR2	FZD5	286
ROR2	WNT7A	287
WNT3	ROR1	288
WNT7A	FZD10	289
AXIN1	LRP5	290
AXIN1	LRP5	291
TCF3	CTNNB1	292
NFATC2	CSNK1A1	293
ROR2	FZD2	294
AXIN1	LRP6	295
CTNNB1	AXIN1	296
NLK	CTNNB1	297
CTNNB1	AXIN1	298
CTNNB1	GSK3B	299
ROR2	WNT5A	300
WNT2	FZD3	301
NLK	CTNNB1	302
WNT7A	FZD7	303
LRP6	FZD1	304
CHD7	NLK	305
CTNNB1	GSK3B	306
WNT5A	ROR1	307
GSK3B	ROR2	308
CTNNB1	GSK3B	309
AXIN1	LRP6	310
AXIN1	LRP6	311
TCF4	CTNNB1	312
GSK3B	ROR2	313
WNT3A	RYK	314
GSK3B	ROR2	315
CTNNB1	GSK3B	316
CTNNB1	GSK3B	317
CTNNB1	AXIN1	318
WNT3	ROR1	319
DAB2	AXIN1	320
AXIN1	LRP6	321
LRP5	FZD8	322
LRP5	FZD8	323
AXIN1	LRP6	324
CHD7	NLK	325
WNT3	ROR1	326
CTNNB1	AXIN1	327
CTNNB1	AXIN1	328
GSK3B	ROR2	329
NLK	CTNNB1	330
FZD1	LRP1	331
ROR2	WNT3	332
PPARG	NLK	333
ROR2	WNT3	334
GSK3B	ROR2	335
ROR2	FZD5	336
CTNNB1	AXIN1	337
WNT1	RYK	338
SMAD1	DVL1	339
NLK	CTNNB1	340
LRP5	FZD8	341
CSNK1A1	AXIN1	342
WNT3A	RYK	343
WNT2	FZD9	344
LRP6	FZD1	345
DAB2	AXIN1	346
NLK	CTNNB1	347
CTNNB1	GSK3B	348
GSK3B	ROR2	349
WNT3	FZD7	350
LRP5	FZD8	351
AXIN1	LRP6	352
WNT3	FZD7	353
CHD7	NLK	354
FZD1	LRP1	355
GSK3B	ROR2	356
FRAT1	LRP5	357
AXIN1	LRP6	358
GSK3B	ROR2	359
CSNK1A1	AXIN1	360
LEF1	CTNNB1	361
CTNNB1	GSK3B	362
ROR2	WNT3A	363
DVL1	GSK3B	364
PPARG	NLK	365
GSK3B	ROR2	366
ROR2	WNT2	367
ROR2	FZD2	368
SMAD1	DVL1	369
LRP5	FZD8	370
LEF1	CTNNB1	371
AXIN1	LRP5	372
GSK3B	ROR2	373
AXIN1	LRP5	374
CHD7	NLK	375
LRP5	FZD8	376
DVL1	FRAT1	377
GSK3B	ROR2	378
ROR2	FZD5	379
FZD8	RYK	380
TCF3	CTNNB1	381
CHD7	NLK	382
LRP6	FZD1	383
TCF4	CTNNB1	384
NFATC2	CSNK1A1	385
GSK3B	ROR2	386
AXIN1	LRP5	387
SOX1	CTNNB1	388
NLK	CTNNB1	389
CHD7	NLK	390
APC	AXIN1	391
GSK3B	ROR2	392
WNT5A	FZD3	393
CTNNB1	AXIN1	394
DAB2	AXIN1	395
LRP6	FZD1	396
GSK3B	ROR2	397
TCF4	CTNNB1	398
GSK3B	ROR2	399
AXIN1	LRP5	400
TCF4	CTNNB1	401
LRP5	FZD8	402
SOX1	CTNNB1	403
NLK	CTNNB1	404
FRAT1	LRP5	405
AXIN1	LRP5	406
ROR2	FZD2	407
PPARG	NLK	408
LRP6	FZD1	409
PPARG	NLK	410
GSK3B	ROR2	411
AXIN1	LRP6	412
SMAD1	DVL1	413
LEF1	CTNNB1	414
GSK3B	ROR2	415
NLK	CTNNB1	416
ROR2	FZD2	417
AXIN1	LRP5	418
ROR2	WNT3	419
WNT5A	FZD2	420
ROR2	WNT3	421
AXIN1	LRP5	422
GSK3B	ROR2	423
TCF3	CTNNB1	424
CTNNB1	AXIN1	425
ROR2	WNT7A	426
DAB2	AXIN1	427
CTNNB1	GSK3B	428
ROR2	WNT7A	429
LRP5	FZD8	430
WNT3	ROR1	431
FZD1	LRP1	432
LRP6	FZD1	433
AXIN1	LRP6	434
DVL1	AXIN1	435
APC	AXIN1	436
SOX1	CTNNB1	437
LRP6	FZD8	438
GSK3B	ROR2	439
DVL1	GSK3B	440
GSK3B	ROR2	441
TCF3	CTNNB1	442
GSK3B	ROR2	443
AXIN1	LRP6	444
CTNNB1	GSK3B	445
CSNK1A1	AXIN1	446
CTNNB1	GSK3B	447
ROR2	FZD5	448
GSK3B	ROR2	449
LRP6	FZD1	450
DAB2	AXIN1	451
AXIN1	LRP6	452
NLK	CTNNB1	453
NLK	CTNNB1	454
AXIN1	LRP6	455
LEF1	CTNNB1	456
APC	GSK3B	457
AXIN1	LRP5	458
CTNNB1	GSK3B	459
NLK	CTNNB1	460
AXIN1	LRP5	461
NLK	CTNNB1	462
WNT5A	FZD3	463
FZD1	LRP1	464
AXIN1	LRP5	465
LRP6	WNT5A	466
NLK	CTNNB1	467
AXIN1	LRP6	468
GSK3B	ROR2	469
GSK3B	ROR2	470
LRP6	FZD1	471
CTNNB1	GSK3B	472
ROR2	WNT1	473
CTNNB1	AXIN1	474
CTNNB1	GSK3B	475
WNT3	FZD7	476
AXIN1	LRP5	477
GSK3B	ROR2	478
AXIN1	LRP5	479
LRP6	FZD1	480
WNT2	FZD9	481
DAB2	AXIN1	482
FZD8	RYK	483
WNT5A	FZD2	484
LRP6	FZD1	485
CTNNB1	GSK3B	486
WNT2	FZD9	487
PPARG	NLK	488
SOX1	CTNNB1	489
NFATC2	CSNK1A1	490
DAB2	AXIN1	491
LRP6	FZD1	492
CTNNB1	AXIN1	493
CTNNB1	GSK3B	494
TCF3	CTNNB1	495
CHD7	NLK	496
CTNNB1	GSK3B	497
ROR2	FZD5	498
AXIN1	LRP5	499
ROR2	WNT2	500
ROR2	FZD5	501
LEF1	CTNNB1	502
AXIN1	LRP6	503
ROR2	FZD5	504
PPARG	NLK	505
AXIN1	LRP6	506
AXIN1	LRP6	507
GSK3B	ROR2	508
CTNNB1	GSK3B	509
FZD5	FZD10	510
AXIN1	LRP6	511
ROR2	WNT7A	512
CHD7	NLK	513
ROR2	WNT2	514
ROR2	WNT2	515
GSK3B	ROR2	516
CSNK1A1	AXIN1	517
TCF4	CTNNB1	518
NFATC2	CSNK1A1	519
WNT5A	FZD3	520
CTNNB1	GSK3B	521
GSK3B	ROR2	522
DVL1	AXIN1	523
CTNNB1	GSK3B	524
CSNK1A1	AXIN1	525
LRP6	WNT3A	526
LRP6	WNT5A	527
TCF3	CTNNB1	528
