#tail	head	KSP index
TCF3	CTNNB1	242
CTNNB1	GSK3B	243
AXIN1	LRP6	244
FZD1	LRP1	245
CTNNB1	AXIN1	246
APC	AXIN1	247
CTNNB1	AXIN1	248
CTNNB1	AXIN1	249
ROR2	WNT7A	250
NLK	CTNNB1	251
ROR2	WNT3A	252
NLK	CTNNB1	253
LRP6	WNT5A	254
CTNNB1	GSK3B	255
SMAD1	DVL1	256
SMAD1	DVL1	257
CTNNB1	GSK3B	258
AXIN1	LRP6	259
GSK3B	ROR2	260
LRP6	FZD1	261
FZD1	WNT3	262
CTNNB1	GSK3B	263
LRP6	FZD1	264
ROR2	WNT1	265
FZD1	LRP1	266
WNT1	RYK	267
AXIN1	LRP6	268
AXIN1	LRP5	269
CTNNB1	GSK3B	270
FZD1	LRP1	271
GSK3B	ROR2	272
TCF4	CTNNB1	273
CTNNB1	GSK3B	274
ROR2	FZD5	275
SOX1	CTNNB1	276
FZD1	LRP1	277
ROR2	WNT3	278
NLK	CTNNB1	279
PPARG	NLK	280
NLK	CTNNB1	281
ROR2	FZD5	282
CTNNB1	GSK3B	283
GSK3B	ROR2	284
FZD5	FZD10	285
GSK3B	ROR2	286
LRP5	FZD8	287
SOX1	CTNNB1	288
GSK3B	ROR2	289
LRP6	WNT5A	290
GSK3B	ROR2	291
WNT3	ROR1	292
CSNK1A1	AXIN1	293
ROR2	WNT2	294
ROR2	WNT3	295
AXIN1	LRP6	296
WNT7A	FZD9	297
GSK3B	ROR2	298
CTNNB1	AXIN1	299
GSK3B	ROR2	300
CTNNB1	GSK3B	301
PPARG	NLK	302
AXIN1	LRP5	303
LRP6	WNT3A	304
ROR2	WNT7A	305
TCF4	CTNNB1	306
DAB2	AXIN1	307
DVL1	GSK3B	308
CHD7	NLK	309
ROR2	WNT3	310
GSK3B	ROR2	311
TCF4	CTNNB1	312
FZD8	RYK	313
CTNNB1	AXIN1	314
LEF1	CTNNB1	315
TCF3	CTNNB1	316
CHD7	NLK	317
GSK3B	ROR2	318
APC	AXIN1	319
DAB2	AXIN1	320
AXIN1	GSK3B	321
AXIN1	LRP6	322
CTNNB1	AXIN1	323
CTNNB1	AXIN1	324
LRP6	FZD1	325
TCF3	CTNNB1	326
CTNNB1	GSK3B	327
GSK3B	ROR2	328
GSK3B	ROR2	329
WNT5A	ROR1	330
AXIN1	LRP6	331
LRP5	FZD8	332
PPARG	NLK	333
GSK3B	ROR2	334
CTNNB1	GSK3B	335
GSK3B	ROR2	336
CTNNB1	GSK3B	337
LRP6	FZD1	338
SMAD1	DVL1	339
CHD7	NLK	340
WNT2	FZD9	341
NFATC2	CSNK1A1	342
LRP6	FZD1	343
LRP6	FZD1	344
WNT3A	FZD5	345
DAB2	AXIN1	346
NLK	CTNNB1	347
CTNNB1	GSK3B	348
ROR2	WNT1	349
LRP5	FZD8	350
ROR2	WNT2	351
AXIN1	LRP6	352
DAB2	AXIN1	353
ROR2	WNT5A	354
AXIN1	LRP5	355
DVL1	GSK3B	356
GSK3B	ROR2	357
DVL1	FRAT1	358
GSK3B	ROR2	359
WNT2	FZD9	360
WNT2	FZD9	361
CTNNB1	GSK3B	362
LRP6	FZD1	363
DVL1	GSK3B	364
LRP6	FZD1	365
ROR2	FZD5	366
WNT2	FZD3	367
WNT2	FZD9	368
LRP6	FZD1	369
WNT3	ROR1	370
AXIN1	LRP6	371
APC	GSK3B	372
GSK3B	ROR2	373
LEF1	CTNNB1	374
ROR2	FZD2	375
WNT5A	WNT7A	376
DVL1	GSK3B	377
FZD8	RYK	378
ROR2	WNT3	379
AXIN1	LRP6	380
CTNNB1	AXIN1	381
CHD7	NLK	382
ROR2	FZD5	383
WNT7A	FZD9	384
WNT5A	FZD2	385
DVL1	FRAT1	386
NLK	CTNNB1	387
FZD5	FZD10	388
PPARG	NLK	389
ROR2	WNT3A	390
GSK3B	ROR2	391
AXIN1	LRP5	392
LRP6	WNT3A	393
TCF3	CTNNB1	394
FZD5	FZD10	395
FZD5	FZD10	396
CTNNB1	GSK3B	397
CTNNB1	GSK3B	398
AXIN1	LRP5	399
AXIN1	LRP6	400
WNT7A	FZD10	401
LRP6	FZD1	402
CTNNB1	AXIN1	403
FZD1	LRP1	404
SMAD1	DVL1	405
CTNNB1	AXIN1	406
WNT2	FZD3	407
LRP6	FZD8	408
GSK3B	ROR2	409
LRP6	FZD8	410
GSK3B	ROR2	411
NLK	CTNNB1	412
DVL1	GSK3B	413
WNT1	RYK	414
GSK3B	ROR2	415
WNT3	ROR1	416
ROR2	WNT2	417
GSK3B	ROR2	418
GSK3B	ROR2	419
WNT5A	FZD3	420
GSK3B	ROR2	421
AXIN1	LRP6	422
CTNNB1	GSK3B	423
FZD1	LRP1	424
CTNNB1	GSK3B	425
LRP6	FZD1	426
DAB2	AXIN1	427
CHD7	NLK	428
CTNNB1	AXIN1	429
ROR2	WNT2	430
LEF1	CTNNB1	431
SMAD1	DVL1	432
CTNNB1	AXIN1	433
NFATC2	CSNK1A1	434
SMAD1	DVL1	435
GSK3B	ROR2	436
SOX1	CTNNB1	437
GSK3B	ROR2	438
GSK3B	ROR2	439
DVL1	GSK3B	440
NLK	CTNNB1	441
WNT3	FZD7	442
CTNNB1	AXIN1	443
NLK	CTNNB1	444
CTNNB1	GSK3B	445
FZD5	FZD10	446
CHD7	NLK	447
GSK3B	ROR2	448
CTNNB1	AXIN1	449
